DATE,CORESTICKM159SFRBATL
1982-08-08,7.329095724
1982-08-15,7.329095724
1982-08-22,7.329095724
1982-08-29,7.329095724
1982-09-05,5.979568161
1982-09-12,5.979568161
1982-09-19,5.979568161
1982-09-26,5.979568161
1982-10-03,5.978948458
1982-10-10,5.978948458
1982-10-17,5.978948458
1982-10-24,5.978948458
1982-10-31,5.978948458
1982-11-07,5.304532965
1982-11-14,5.304532965
1982-11-21,5.304532965
1982-11-28,5.304532965
1982-12-05,4.248605204
1982-12-12,4.248605204
1982-12-19,4.248605204
1982-12-26,4.248605204
1983-01-02,4.424606951
1983-01-09,4.424606951
1983-01-16,4.424606951
1983-01-23,4.424606951
1983-01-30,4.424606951
1983-02-06,4.356216055
1983-02-13,4.356216055
1983-02-20,4.356216055
1983-02-27,4.356216055
1983-03-06,4.586331541
1983-03-13,4.586331541
1983-03-20,4.586331541
1983-03-27,4.586331541
1983-04-03,4.187719488
1983-04-10,4.187719488
1983-04-17,4.187719488
1983-04-24,4.187719488
1983-05-01,3.285270905
1983-05-08,3.285270905
1983-05-15,3.285270905
1983-05-22,3.285270905
1983-05-29,3.285270905
1983-06-05,2.582464401
1983-06-12,2.582464401
1983-06-19,2.582464401
1983-06-26,2.582464401
1983-07-03,2.370321394
1983-07-10,2.370321394
1983-07-17,2.370321394
1983-07-24,2.370321394
1983-07-31,2.370321394
1983-08-07,2.293245829
1983-08-14,2.293245829
1983-08-21,2.293245829
1983-08-28,2.293245829
1983-09-04,2.688915363
1983-09-11,2.688915363
1983-09-18,2.688915363
1983-09-25,2.688915363
1983-10-02,2.837489986
1983-10-09,2.837489986
1983-10-16,2.837489986
1983-10-23,2.837489986
1983-10-30,2.837489986
1983-11-06,3.496604743
1983-11-13,3.496604743
1983-11-20,3.496604743
1983-11-27,3.496604743
1983-12-04,4.455576949
1983-12-11,4.455576949
1983-12-18,4.455576949
1983-12-25,4.455576949
1984-01-01,4.47100051
1984-01-08,4.47100051
1984-01-15,4.47100051
1984-01-22,4.47100051
1984-01-29,4.47100051
1984-02-05,4.509240951
1984-02-12,4.509240951
1984-02-19,4.509240951
1984-02-26,4.509240951
1984-03-04,4.638826514
1984-03-11,4.638826514
1984-03-18,4.638826514
1984-03-25,4.638826514
1984-04-01,4.632179596
1984-04-08,4.632179596
1984-04-15,4.632179596
1984-04-22,4.632179596
1984-04-29,4.632179596
1984-05-06,4.693964637
1984-05-13,4.693964637
1984-05-20,4.693964637
1984-05-27,4.693964637
1984-06-03,4.773046608
1984-06-10,4.773046608
1984-06-17,4.773046608
1984-06-24,4.773046608
1984-07-01,4.88156286
1984-07-08,4.88156286
1984-07-15,4.88156286
1984-07-22,4.88156286
1984-07-29,4.88156286
1984-08-05,5.017877611
1984-08-12,5.017877611
1984-08-19,5.017877611
1984-08-26,5.017877611
1984-09-02,5.122410713
1984-09-09,5.122410713
1984-09-16,5.122410713
1984-09-23,5.122410713
1984-09-30,5.122410713
1984-10-07,5.086232886
1984-10-14,5.086232886
1984-10-21,5.086232886
1984-10-28,5.086232886
1984-11-04,4.951399759
1984-11-11,4.951399759
1984-11-18,4.951399759
1984-11-25,4.951399759
1984-12-02,5.03485707
1984-12-09,5.03485707
1984-12-16,5.03485707
1984-12-23,5.03485707
1984-12-30,5.03485707
1985-01-06,4.71440976
1985-01-13,4.71440976
1985-01-20,4.71440976
1985-01-27,4.71440976
1985-02-03,4.860092398
1985-02-10,4.860092398
1985-02-17,4.860092398
1985-02-24,4.860092398
1985-03-03,4.95037523
1985-03-10,4.95037523
1985-03-17,4.95037523
1985-03-24,4.95037523
1985-03-31,4.95037523
1985-04-07,4.742850309
1985-04-14,4.742850309
1985-04-21,4.742850309
1985-04-28,4.742850309
1985-05-05,5.02421107
1985-05-12,5.02421107
1985-05-19,5.02421107
1985-05-26,5.02421107
1985-06-02,5.042571195
1985-06-09,5.042571195
1985-06-16,5.042571195
1985-06-23,5.042571195
1985-06-30,5.042571195
1985-07-07,4.934458147
1985-07-14,4.934458147
1985-07-21,4.934458147
1985-07-28,4.934458147
1985-08-04,4.931448285
1985-08-11,4.931448285
1985-08-18,4.931448285
1985-08-25,4.931448285
1985-09-01,4.772256068
1985-09-08,4.772256068
1985-09-15,4.772256068
1985-09-22,4.772256068
1985-09-29,4.772256068
1985-10-06,4.87735108
1985-10-13,4.87735108
1985-10-20,4.87735108
1985-10-27,4.87735108
1985-11-03,5.134382326
1985-11-10,5.134382326
1985-11-17,5.134382326
1985-11-24,5.134382326
1985-12-01,5.015425836
1985-12-08,5.015425836
1985-12-15,5.015425836
1985-12-22,5.015425836
1985-12-29,5.015425836
1986-01-05,5.280952944
1986-01-12,5.280952944
1986-01-19,5.280952944
1986-01-26,5.280952944
1986-02-02,5.109255446
1986-02-09,5.109255446
1986-02-16,5.109255446
1986-02-23,5.109255446
1986-03-02,5.212476107
